dataset,process,crossSection = -99.99,totalEvents = -999,luminosity=-99.99,isLite=NO,isFastSim=NO,identifier,::PAT,::pickyTrimKT1-mu,::pickyTrimKT1-e,::pickyTrimKT1-met,::pickyTrimKT1-btag
T2tt-pythia,stop;LSP,stop,,,YES,YES,SMS-T2tt_Mgluino-225to1200_mLSP-0to1000_8TeV-Pythia6Z,/eos/uscms/store/user/rossin/PAT/Summer12-START52_V9_FSIM-v7/SMS-T2tt_Mgluino-225to1200_mLSP-0to1000_8TeV-Pythia6Z/TttSkim-lite-v1/,,,,
T2tt-madgraph,stop;LSP,stop,,,YES,YES,SMS-T2tt_MadGraph_Mstop-150to800_mLSP-0to550_8TeV-Pythia6Z,/pnfs/cms/WAX/resilient/rossin/PAT/Summer12-START52_V9_FSIM-v1/SMS-T2tt_mStop-150to350_mLSP-0to250_8TeV-Pythia6Z/v1;/pnfs/cms/WAX/resilient/rossin/PAT/Summer12-START52_V9_FSIM-v1/SMS-T2tt_mStop-375to475_mLSP-0to375_8TeV-Pythia6Z/v1;/pnfs/cms/WAX/resilient/rossin/PAT/Summer12-START52_V9_FSIM-v1/SMS-T2tt_mStop-500to650_mLSP-0to225_8TeV-Pythia6Z/v1;/pnfs/cms/WAX/resilient/rossin/PAT/Summer12-START52_V9_FSIM-v1/SMS-T2tt_mStop-500to650_mLSP-250to550_8TeV-Pythia6Z/v1;/pnfs/cms/WAX/resilient/rossin/PAT/Summer12-START52_V9_FSIM-v1/SMS-T2tt_mStop-675to800_mLSP-0to275_8TeV-Pythia6Z/v1,,,/eos/uscms/store/user/nmccoll/skim_PAT/geq2J65_met160/T2tt_mStop-150to350_mLSP-0to250/pickyTrimKT1_lite_v0;/eos/uscms/store/user/nmccoll/skim_PAT/geq2J65_met160/T2tt_mStop-375to475_mLSP-0to375/pickyTrimKT1_lite_v0;/eos/uscms/store/user/nmccoll/skim_PAT/geq2J65_met160/T2tt_mStop-500to650_mLSP-0to225/pickyTrimKT1_lite_v0;/eos/uscms/store/user/nmccoll/skim_PAT/geq2J65_met160/T2tt_mStop-500to650_mLSP-250to550/pickyTrimKT1_lite_v0;/eos/uscms/store/user/nmccoll/skim_PAT/geq2J65_met160/T2tt_mStop-675to800_mLSP-0to275/pickyTrimKT1_lite_v0,
T2bw,chi;stop;LSP,stop,,,YES,YES,SMS-T2bw_Mstop-225to1000_mLSP-0to900_8TeV-Pythia6Z,/eos/uscms/store/user/lowette/PAT/Summer12-START52_V9_FSIM-v6/SMS-T2bw_Mstop-225to1000_mLSP-0to900_8TeV-Pythia6Z/TbWSkim-lite-v2,,,,
METData-2012A-13Jul,METData,,,0.808410572,YES,,MET-Run2012A-13Jul2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012A-13Jul2012-v1/MET/190456-193621/DiJetMetSkim_lite_v0,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/METData-2012A-13Jul/pickyTrimKT1_lite_v1,
METData-2012A-06Aug,METData,,,0.082135672,YES,,MET-Run2012A-recover-06Aug2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012A-recover-06Aug2012-v1/MET/190782-190949/DiJetMetSkim_lite_v0,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/METData-2012A-06Aug/pickyTrimKT1_lite_v1,
METData-2012B-13Jul,METData,,,4.428359119,YES,,MET-Run2012B-13Jul2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012B-13Jul2012-v1/MET/193833-196531/DiJetMetSkim_lite_v0,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/METData-2012B-13Jul/pickyTrimKT1_lite_v1,
METData-2012C-24Aug,METData,,,0.495002898,YES,,MET-Run2012C-24Aug2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012C-24Aug2012-v1/MET/198022-198913/DiJetMetSkim_lite_v0,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/METData-2012C-24Aug/pickyTrimKT1_lite_v1,
METData-2012C-PromptReco,METData,,,6.394144686,YES,,MET-Run2012C-PromptReco-v2,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012C-PromptReco-v2/MET/198934-203746/DiJetMetSkim_lite_v0,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/METData-2012C-PromptReco/pickyTrimKT1_lite_v1,
METData-2012C-11Dec,METData,,,0.134241642,YES,,MET-Run2012C-EcalRecover_11Dec2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012C-EcalRecover_11Dec2012-v1/MET/201191-201191/DiJetMetSkim_lite_v0,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/METData-2012C-11Dec/pickyTrimKT1_lite_v1,
METData-2012D-PromptReco,METData,,,6.689251276,YES,,MET-Run2012D-PromptReco-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012D-PromptReco-v1/MET/203768-208686/DiJetMetSkim_lite_v0,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/METData-2012D-PromptReco/pickyTrimKT1_lite_v1,
EData-2012A-13Jul,EData,,,,NO,,SingleElectron-Run2012A-13Jul2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012A-13Jul2012-v1/SingleElectron/190456-193621/DiJetElectronSkim_lite_v0,,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/EData-2012A-13Jul/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/EData-2012A-13Jul/pickyTrimKT1_v0,,
EData-2012A-06Aug,EData,,,,NO,,SingleElectron-Run2012A-recover-06Aug2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012A-recover-06Aug2012-v1/SingleElectron/190782-190949/DiJetElectronSkim_lite_v0,,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/EData-2012A-06Aug/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/EData-2012A-06Aug/pickyTrimKT1_v0,,
EData-2012B-13Jul,EData,,,,NO,,SingleElectron-Run2012B-13Jul2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012B-13Jul2012-v1/SingleElectron/193833-196531/DiJetElectronSkim_lite_v0,,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/EData-2012B-13Jul/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/EData-2012B-13Jul/pickyTrimKT1_v0,,
EData-2012C-24Aug,EData,,,,NO,,SingleElectron-Run2012C-24Aug2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012C-24Aug2012-v1/SingleElectron/198022-198913/DiJetElectronSkim_lite_v0,,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/EData-2012C-24Aug/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/EData-2012C-24Aug/pickyTrimKT1_v0,,
EData-2012C-11Dec,EData,,,,NO,,SingleElectron-Run2012C-EcalRecover_11Dec2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012C-EcalRecover_11Dec2012-v1/SingleElectron/201191-201191/DiJetElectronSkim_lite_v0,,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/EData-2012C-11Dec/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/EData-2012C-11Dec/pickyTrimKT1_v0,,
EData-2012C-PromptReco,EData,,,,NO,,SingleElectron-Run2012C-PromptReco-v2,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012C-PromptReco-v2/SingleElectron/198934-203746/DiJetElectronSkim_lite_v0,,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/EData-2012C-PromptReco/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/EData-2012C-PromptReco/pickyTrimKT1_v0,,
EData-2012D-PromptReco,EData,,,,NO,,SingleElectron-Run2012D-PromptReco-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012D-PromptReco-v1/SingleElectron/203768-208686/DiJetElectronSkim_lite_v0,,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/EData-2012D-PromptReco/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/EData-2012D-PromptReco/pickyTrimKT1_v0,,
MuData-2012A-13Jul,MuData,,,0.80846,NO,,SingleMu-Run2012A-13Jul2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012A-13Jul2012-v1/SingleMu/190456-193621,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/MuData-2012A-13Jul-Run2012A-13Jul2012/pickyTrimKT1_MuonSkim_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/MuData-2012A-13Jul/pickyTrimKT1_MuonSkim_v1,,,
MuData-2012A-06Aug,MuData,,,0.082135,NO,,SingleMu-Run2012A-recover-06Aug2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012A-recover-06Aug2012-v1/SingleMu/190782-190949,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/MuData-2012A-06Aug-Run2012A-recover-06Aug2012/pickyTrimKT1_MuonSkim_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/MuData-2012A-06Aug/pickyTrimKT1_MuonSkim_v1,,,
MuData-2012B-13Jul,MuData,,,4.429,NO,,SingleMu-Run2012B-13Jul2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012B-13Jul2012-v1/SingleMu/193833-196531,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/MuData-2012B-13Jul-Run2012B-13Jul2012/pickyTrimKT1_MuonSkim_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/MuData-2012B-13Jul/pickyTrimKT1_MuonSkim_v1,,,
MuData-2012C-24Aug,MuData,,,0.495003,NO,,SingleMu-Run2012C-24Aug2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012C-24Aug2012-v1/SingleMu/198022-198913,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/MuData-2012C-24Aug-Run2012C-24Aug2012/pickyTrimKT1_MuonSkim_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/MuData-2012C-24Aug/pickyTrimKT1_MuonSkim_v1,,,
MuData-2012C-11Dec,MuData,,,0.134241,NO,,SingleMu-Run2012C-EcalRecover_11Dec2012-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012C-EcalRecover_11Dec2012-v1/SingleMu/201191-201191,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/MuData-2012C-11Dec-Run2012C-EcalRecover_11Dec2012/pickyTrimKT1_MuonSkim_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/MuData-2012C-11Dec/pickyTrimKT1_MuonSkim_v1,,,
MuData-2012C-PromptReco,MuData,,,6.392,NO,,SingleMu-Run2012C-PromptReco-v2,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012C-PromptReco-v2/SingleMu/198934-203746,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/MuData-2012C-PromptReco/pickyTrimKT1_MuonSkim_v1;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/MuData-2012C-PromptReco/pickyTrimKT1_MuonSkim_v1,,,
MuData-2012D-PromptReco,MuData,,,6.684,NO,,SingleMu-Run2012D-PromptReco-v1,/pnfs/cms/WAX/resilient/bora12/PAT/Run2012D-PromptReco-v1/SingleMu/203768-208686,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/MuData-2012D-PromptReco/pickyTrimKT1_MuonSkim_v0/;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/MuData-2012D-PromptReco/pickyTrimKT1_MuonSkim_v1,,,
HTData-2012A-13Jul,HTData,,,,YES,,HT-Run2012A-13Jul2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012A-13Jul2012-v1/HT/190456-193621/HTSkim_lite_v0,,,,/pnfs/cms/WAX/resilient/nmccoll/skim_PAT/geq1BTag_PSInc/HTData-2012A-13Jul/pickyTrimKT1_lite_v1
HTData-2012A-06Aug,HTData,,,,YES,,HT-Run2012A-recover-06Aug2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012A-recover-06Aug2012-v1/HT/190782-190949/HTSkim_lite_v0,,,,/pnfs/cms/WAX/resilient/nmccoll/skim_PAT/geq1BTag_PSInc/HTData-2012A-06Aug/pickyTrimKT1_lite_v1
HTData-2012B-13Jul,HTData,,,,YES,,JetHT-Run2012B-13Jul2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012B-13Jul2012-v1/JetHT/193833-196531/HTSkim_lite_v0,,,,/pnfs/cms/WAX/resilient/nmccoll/skim_PAT/geq1BTag_PSInc/HTData-2012B-13Jul/pickyTrimKT1_lite_v1
HTData-2012C-24Aug,HTData,,,,YES,,JetHT-Run2012C-24Aug2012-v2,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012C-24Aug2012-v2/JetHT/198022-198913/HTSkim_lite_v0,,,,/pnfs/cms/WAX/resilient/nmccoll/skim_PAT/geq1BTag_PSInc/HTData-2012C-24Aug/pickyTrimKT1_lite_v1
HTData-2012C-11Dec,HTData,,,,YES,,JetHT-Run2012C-EcalRecover_11Dec2012-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012C-EcalRecover_11Dec2012-v1/JetHT/201191-201191/HTSkim_lite_v0,,,,/pnfs/cms/WAX/resilient/nmccoll/skim_PAT/geq1BTag_PSInc/HTData-2012C-11Dec/pickyTrimKT1_lite_v1
HTData-2012C-PromptReco,HTData,,,,YES,,JetHT-Run2012C-PromptReco-v2,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012C-PromptReco-v2/JetHT/198934-203746/HTSkim_lite_v0,,,,/pnfs/cms/WAX/resilient/nmccoll/skim_PAT/geq1BTag_PSInc/HTData-2012C-PromptReco/pickyTrimKT1_lite_v1
HTData-2012D-PromptReco,HTData,,,,YES,,JetHT-Run2012D-PromptReco-v1,/pnfs/cms/WAX/resilient/mullin/PAT/Run2012D-PromptReco-v1/JetHT/203768-208686/HTSkim_lite_v0,,,,/pnfs/cms/WAX/resilient/nmccoll/skim_PAT/geq1BTag_PSInc/HTData-2012D-PromptReco/pickyTrimKT1_lite_v1
