dataset,process,crossSection = -99.99,totalEvents = -999,luminosity=-99.99,isLite=NO,isFastSim=NO,identifier,::PAT,::pickyTrimKT1-mu,::pickyTrimKT1-e,::pickyTrimKT1-met,::pickyTrimKT1-btag
QCD-PT30to50-pythia6,QCD,66145400,6000000,,YES,,QCD_Pt-30to50_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v2/QCD_Pt-30to50_TuneZ2star_8TeV_pythia6/lite-v1/,,,,
QCD-PT50to80-pythia6,QCD,8111130,5998850,,YES,,QCD_Pt-50to80_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v2/QCD_Pt-50to80_TuneZ2star_8TeV_pythia6/lite-v1/,,,,
QCD-PT80to120-pythia6,QCD,1030910,5994850,,YES,,QCD_Pt-80to120_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v3/QCD_Pt-80to120_TuneZ2star_8TeV_pythia6/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT80to120-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT80to120-pythia6/pickyTrimKT1_lite_v0,,,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT80to120-pythia6/pickyTrimKT1_lite_v0
QCD-PT120to170-pythia6,QCD,155872,5985720,,YES,,QCD_Pt-120to170_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v3/QCD_Pt-120to170_TuneZ2star_8TeV_pythia6/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT120to170-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT120to170-pythia6/pickyTrimKT1_lite_v0,,,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT120to170-pythia6/pickyTrimKT1_lite_v0
QCD-PT170to300-pythia6,QCD,34352.3,25784612,,YES,,QCD_Pt-170to300_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v2/QCD_Pt-170to300_TuneZ2star_8TeV_pythia6/lite-v1/;/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/QCD_Pt-170to300_TuneZ2star_8TeV_pythia6_v2/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT170to300-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT170to300-pythia6/pickyTrimKT1_lite_v0,,/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT170to300-pythia6;/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT170to300-pythia6-20M,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT170to300-pythia6/pickyTrimKT1_lite_v0
QCD-PT300to470-pythia6,QCD,1709.36,29360700,,YES,,QCD_Pt-300to470_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v2/QCD_Pt-300to470_TuneZ2star_8TeV_pythia6/lite-v1/;/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/QCD_Pt-300to470_TuneZ2star_8TeV_pythia6_v3/lite-v1/;/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/QCD_Pt-300to470_TuneZ2star_8TeV_pythia6_v2/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT300to470-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT300to470-pythia6/pickyTrimKT1_lite_v0,,/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT300to470-pythia6;/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT300to470-pythia6-20M;/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT300to470-pythia6-3M,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT300to470-pythia6/pickyTrimKT1_lite_v0
QCD-PT470to600-pythia6,QCD,113.359,3994840,,YES,,QCD_Pt-470to600_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v2/QCD_Pt-470to600_TuneZ2star_8TeV_pythia6/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT470to600-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT470to600-pythia6/pickyTrimKT1_lite_v0,,/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT470to600-pythia6,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT470to600-pythia6/pickyTrimKT1_lite_v0
QCD-PT600to800-pythia6,QCD,27.0167,3996860,,YES,,QCD_Pt-600to800_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v2/QCD_Pt-600to800_TuneZ2star_8TeV_pythia6/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT600to800-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT600to800-pythia6/pickyTrimKT1_lite_v0,,/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT600to800-pythia6,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT600to800-pythia6/pickyTrimKT1_lite_v0
QCD-PT800to1000-pythia6,QCD,3.53291,3998550,,YES,,QCD_Pt-800to1000_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v2/QCD_Pt-800to1000_TuneZ2star_8TeV_pythia6/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT800to1000-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT800to1000-pythia6/pickyTrimKT1_lite_v0,,/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT800to1000-pythia6,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT800to1000-pythia6/pickyTrimKT1_lite_v0
QCD-PT1000to1400-pythia6,QCD,0.736164,1964090,,YES,,QCD_Pt-1000to1400_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/QCD_Pt-1000to1400_TuneZ2star_8TeV_pythia6/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT1000to1400-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT1000to1400-pythia6/pickyTrimKT1_lite_v0,,/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT1000to1400-pythia6,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT1000to1400-pythia6/pickyTrimKT1_lite_v0
